Date,Liturgical_Day,Season,Morning_Psalm_Ref,Morning_OT_Ref,Morning_NT_Ref,Evening_Psalm_Ref,Evening_OT_Ref,Evening_NT_Ref,Omit_Venite,Morning_Canticle_A,Collect_Of_Day_Text
2025-08-30,,Trinity,,,,,,,False,,
2025-08-31,Eleventh Sunday after Trinity,Trinity,FOURTH,80,Isa. 40:1-11,Luke 3:1-17,,,False,,
2025-09-01,,Trinity,,,,,,,False,,
2025-09-02,,Trinity,,,,,,,False,,
2025-09-03,,Trinity,,,,,,,False,,
2025-09-04,,Trinity,,,,,,,False,,
2025-09-05,,Trinity,,,,,,,False,,
2025-09-06,,Trinity,,,,,,,False,,
2025-09-07,Twelfth Sunday after Trinity,Trinity,FOURTH,80,Isa. 40:1-11,Luke 3:1-17,,,False,,
2025-09-08,,Trinity,,,,,,,False,,
2025-09-09,,Trinity,,,,,,,False,,
2025-09-10,,Trinity,,,,,,,False,,
2025-09-11,,Trinity,,,,,,,False,,
2025-09-12,,Trinity,,,,,,,False,,
2025-09-13,,Trinity,,,,,,,False,,
2025-09-14,Holy Cross Day,Trinity,,,,,,,FALSE,,
2025-09-15,,Trinity,,,,,,,False,,
2025-09-16,,Trinity,,,,,,,False,,
2025-09-17,,Trinity,,,,,,,False,,
2025-09-18,,Trinity,,,,,,,False,,
2025-09-19,,Trinity,,,,,,,False,,
2025-09-20,,Trinity,,,,,,,False,,
2025-09-21,St. Matthew the Apostle,Trinity,,,,,,,FALSE,,
2025-09-22,,Trinity,,,,,,,False,,
2025-09-23,,Trinity,,,,,,,False,,
2025-09-24,,Trinity,,,,,,,False,,
2025-09-25,,Trinity,,,,,,,False,,
2025-09-26,,Trinity,,,,,,,False,,
2025-09-27,,Trinity,,,,,,,False,,
2025-09-28,Fifteenth Sunday after Trinity,Trinity,FOURTH,80,Isa. 40:1-11,Luke 3:1-17,,,False,,
2025-09-29,St. Michael and All Angels,Trinity,,,,,,,FALSE,,
2025-09-30,,Trinity,,,,,,,False,,
2025-10-01,,Trinity,,,,,,,False,,
2025-10-02,,Trinity,,,,,,,False,,
2025-10-03,,Trinity,,,,,,,False,,
2025-10-04,,Trinity,,,,,,,False,,
2025-10-05,Sixteenth Sunday after Trinity,Trinity,FOURTH,80,Isa. 40:1-11,Luke 3:1-17,,,False,,
2025-10-06,,Trinity,,,,,,,False,,
2025-10-07,,Trinity,,,,,,,False,,
2025-10-08,,Trinity,,,,,,,False,,
2025-10-09,,Trinity,,,,,,,False,,
2025-10-10,,Trinity,,,,,,,False,,
2025-10-11,,Trinity,,,,,,,False,,
2025-10-12,Seventeenth Sunday after Trinity,Trinity,FOURTH,80,Isa. 40:1-11,Luke 3:1-17,,,False,,
2025-10-13,,Trinity,,,,,,,False,,
2025-10-14,,Trinity,,,,,,,False,,
2025-10-15,,Trinity,,,,,,,False,,
2025-10-16,,Trinity,,,,,,,False,,
2025-10-17,,Trinity,,,,,,,False,,
2025-10-18,St. Luke the Evangelist,Trinity,,,,,,,FALSE,,
2025-10-19,Eighteenth Sunday after Trinity,Trinity,FOURTH,80,Isa. 40:1-11,Luke 3:1-17,,,False,,
2025-10-20,,Trinity,,,,,,,False,,
2025-10-21,,Trinity,,,,,,,False,,
2025-10-22,,Trinity,,,,,,,False,,
2025-10-23,,Trinity,,,,,,,False,,
2025-10-24,,Trinity,,,,,,,False,,
2025-10-25,,Trinity,,,,,,,False,,
2025-10-26,Nineteenth Sunday after Trinity,Trinity,FOURTH,80,Isa. 40:1-11,Luke 3:1-17,,,False,,
2025-10-27,,Trinity,,,,,,,False,,
2025-10-28,"St. Simon and St. Jude, Apostles",Trinity,,,,,,,FALSE,,
2025-10-29,,Trinity,,,,,,,False,,
2025-10-30,,Trinity,,,,,,,False,,
2025-10-31,,Trinity,,,,,,,False,,
2025-11-01,All Saints’ Day,Trinity,,,,,,,FALSE,,
2025-11-02,Twentieth Sunday after Trinity,Trinity,FOURTH,80,Isa. 40:1-11,Luke 3:1-17,,,False,,
2025-11-03,,Trinity,,,,,,,False,,
2025-11-04,,Trinity,,,,,,,False,,
2025-11-05,,Trinity,,,,,,,False,,
2025-11-06,,Trinity,,,,,,,False,,
