Sunday,Office,Service,Psalms,FirstLesson,SecondLesson
FOURTH SUNDAY AFTER TRINITY,Morning,Prayer,75; 82,"Deut. 32:1-4, 34-39",Rom. 2:1-16
FOURTH SUNDAY AFTER TRINITY,Evening,Prayer,139,"Prov. 27:1-6, 10-12",Luke 6:36-42
FIFTH SUNDAYAFTER TRINITY,Morning,Communion,62; 63,"*Eccl. 2:1-11, 18-23",Matt. 19:16-30
FIFTH SUNDAYAFTER TRINITY,Evening,Communion,66,"Prov. 3:1-7, 11-12",Luke 14:25-35
FIFTH SUNDAYAFTER TRINITY,Morning,Prayer,34,"Prov. 15:1-10, 26",Jam. 3
FIFTH SUNDAYAFTER TRINITY,Evening,Prayer,65,Judg. 6:11-23,Luke 5:1-11
SIXTH SUNDAY AFTER TRINITY,Morning,Prayer,85,2 Sam. 19:16-23,Matt. 5:38-48
SIXTH SUNDAY AFTER TRINITY,Evening,Prayer,57; 130,"Exod. 24:1-11, 16-18",Heb. 9:18-28
SIXTH SUNDAY AFTER TRINITY,Morning,Communion,16; 111,*Isa. 57:13b-19,2 Tim. 2:7-13
SIXTH SUNDAY AFTER TRINITY,Evening,Communion,94,Gen. 4:1-16,Matt. 5:20-26
SEVENTH SUNDAY AFTER TRINITY,Morning,Communion,18:1-20,*Hos. 14,Rom. 6:12-18
SEVENTH SUNDAY AFTER TRINITY,Evening,Communion,50,"Dan. 5:1-9, 13-30","Rom. 1:17-21, 28-32"
SEVENTH SUNDAY AFTER TRINITY,Morning,Prayer,133; 134; 138,2 Ki. 22,John 15:12-27
SEVENTH SUNDAY AFTER TRINITY,Evening,Prayer,116,Mic. 7:14-20,Mark 8:1-21
EIGHTH SUNDAY AFTER TRINITY,Morning,Communion,119:33-48,*Prov. 1:1-9,John 7:14-24
EIGHTH SUNDAY AFTER TRINITY,Evening,Communion,25,Gen. 18:20-33,Luke 10:38-42
EIGHTH SUNDAY AFTER TRINITY,Morning,Prayer,126; 127,Zech. 4:1-10,Gal. 3:24-4:7
EIGHTH SUNDAY AFTER TRINITY,Evening,Prayer,92,Prov. 11:24-31,Matt. 7:15-21
NINTH SUNDAY AFTER TRINITY,Morning,Prayer,115,Ezek. 14:1-11,1 Thes. 4:1-12
NINTH SUNDAY AFTER TRINITY,Evening,Prayer,119:9-24,"Prov. 4:1-4, 20-27",Heb. 12:1-13
NINTH SUNDAY AFTER TRINITY,Morning,Communion,103,*Prov. 8:1-21,John 8:1-11
NINTH SUNDAY AFTER TRINITY,Evening,Communion,51,Lam. 3:40-58,Luke 15:11-32
TENTH SUNDAY AFTER TRINITY,Morning,Communion,145,*Josh. 24:14-24,John 8:25-36
TENTH SUNDAY AFTER TRINITY,Evening,Communion,15; 46,"Isa. 44:1-8, 21-23",Rom. 12:1-9
TENTH SUNDAY AFTER TRINITY,Morning,Prayer,147,"Jer. 26:1-7, 10-15",Matt. 23:34-39
TENTH SUNDAY AFTER TRINITY,Evening,Prayer,42; 43,Lam. 1:1-12,Luke 19:41-48
ELEVENTH SUNDAY AFTER TRINITY,Morning,Communion,124; 125,"*Isa. 26:12-16, 19",Rom. 8:26-39
ELEVENTH SUNDAY AFTER TRINITY,Evening,Communion,123; 142,Deut. 15:7-18,Mark 12:38-44
ELEVENTH SUNDAY AFTER TRINITY,Morning,Prayer,33,Job 5:8-18,Matt. 23:13-31
ELEVENTH SUNDAY AFTER TRINITY,Evening,Prayer,100; 101,Eccl. 5:1-7,Luke 18:9-14
TWELFTH SUNDAY AFTER TRINITY,Morning,Communion,139,*Deut. 11:8-21,Phil. 2:12-18
TWELFTH SUNDAY AFTER TRINITY,Evening,Communion,27,Exod. 15:1-18,Rom. 15:14-21
TWELFTH SUNDAY AFTER TRINITY,Morning,Prayer,102:15-end; 146,2 Chr. 24:4-16,Luke 4:31-44
TWELFTH SUNDAY AFTER TRINITY,Evening,Prayer,32; 126,Isa. 29:18-24,Mark 7:31-37
