Sunday,Identifier,Morning,Unnamed: 3,Unnamed: 4,Evening,Unnamed: 6,Unnamed: 7
,Communion = 1; Prayer = 2,Psalms,First Lesson,Second Lesson,Psalms,First Lesson,Second Lesson
ELEVENTH SUNDAY AFTER TRINITY,1,124; 125,"*Isa. 26:12-16, 19",Rom. 8:26-39,123; 142,Deut. 15:7-18,Mark 12:38-44
,2,33,Job 5:8-18,Matt. 23:13-31,100; 101,Eccl. 5:1-7,Luke 18:9-14
,,,,,,,
TWELFTH SUNDAY AFTER TRINITY,1,139,*Deut. 11:8-21,Phil. 2:12-18,27,Exod. 15:1-18,Rom. 15:14-21
,2,102:15-end; 146,2 Chr. 24:4-16,Luke 4:31-44,32; 126,Isa. 29:18-24,Mark 7:31-37
,,,,,,,
THIRTEENTH SUNDAY AFTER TRINITY,1,104,*Josh. 24:14-28,"Mark 3:20-21, 31-35",11; 12,Deut. 15:7-15,Matt. 26:6-13
,2,73,"Hab. 1:12-2:4, 14",Heb. 10:35-39,112; 113,Deut. 24:10-22,Luke 10:23-37
,,,,,,,
FOURTEENTH SUNDAY AFTER TRINITY,1,19; 24,*Mic. 6:1-8,Phil. 4:4-13,50,Jer. 7:1-11,Luke 13:18-30
,2,65,1 Chr. 29:10-17,Luke 17:5-10,92,"Deut. 8:1-14, 17-20",Luke 17:11-19
,,,,,,,
FIFTEENTH SUNDAY AFTER TRINITY,1,49,*Prov. 26:1-12,Luke 12:13-21,26; 128,Eccl. 5:8-20,1 Tim. 6:1-10
,2,103,Deut. 7:6-13,Gal. 2:15-20,34,Joel 2:21-27,Matt. 6:24-34
,,,,,,,
SIXTEENTH SUNDAY AFTER TRINITY,1,116,*Isa. 12,John 11:21-44,90,Ezek. 33:1-9,Matt. 24:37-51
,2,91,Jer. 32:36-42,Rom. 11:25-36,142; 146,"1 Ki. 17:8-9, 17-24",Luke 7:11-17
,,,,,,,
SEVENTEENTH SUNDAY AFTER TRINITY,1,25,*Jer. 13:15-21,Mark 10:35-45,36:5-end; 130,Mal. 2:1-10,Luke 13:10-17
,2,10,Prov. 26:13-28,2 Tim. 2:19-26,33,"Prov. 16:1-9, 16-19",Luke 14:1-11
,,,,,,,
EIGHTEENTH SUNDAY AFTER TRINITY,2,48; 112,Prov. 2:1-9,1 Tim. 3:14-4:16,147,"Deut. 11:18-21, 26-28, 32",Gal. 1:1-12
,1,62; 63,*Amos 8:4-12,John 7:37-53,119:89-104,Deut. 5:1-21,Matt. 22:34-46
,,,,,,,
NINETEENTH SUNDAY AFTER TRINITY,1,72,*Job 24:1-17,Titus 2,80,Jer. 5:7-19,2 Cor. 13
,2,34,Jer. 30:12-22,John 5:1-16,103,"Job 34:10-15, 21-28",Matt. 9:1-8
,,,,,,,
TWENTIETH SUNDAY AFTER TRINITY,2,11; 12,Mal. 2:14-17,"Matt. 19:3-9a, 13-15",145,Jer. 31:31-37,John 13:31-35
,1,1; 15,*Eccl. 9:4-10,Eph. 6:1-9,"107:1-9, 33-end","Jer. 2:1-9, 13",Matt. 22:1-14
,,,,,,,
TWENTY-FIRST SUNDAY AFTER TRINITY,1,76; 121,*Isa. 59:15b-21,"2 Cor. 10:1-7, 17-18",25,Gen. 15:1-6,Rom. 4:1-8
,2,27,Prov. 3:13-26,John 9:1-38,30; 146,2 Ki. 5:1-15a,John 4:46b-54
,,,,,,,
TWENTY-SECOND SUNDAY AFTER TRINITY,1,32; 43,*Prov. 25:8-24,Matt. 18:7-20,51,1 Ki. 8:46-53,Luke 7:36-50
,2,147,Zech. 3,1 John 2:24-29,7,Zech. 7:8-14,Matt. 18:21-35
,,,,,,,
TWENTY-THIRD SUNDAY AFTER TRINITY,2,33,"Jer. 29:1, 4-14",Titus 3:1-8,19; 67,Ezek. 33:30-33,1 Cor. 4:8-16
,1,8; 138,*Isa. 64,Matt. 23:1-12,72,Esther 6:10-7:10,Matt. 22:15-22
,,,,,,,
TWENTY-FOURTH SUNDAY AFTER TRINITY,1,66,*Mal. 3:13-4:3,Luke 10:17-24,139,"Deut. 33:1-3, 26-29","Jude 1-4, 17-25"
,2,20; 28,Lam. 3:19-33,1 Tim. 2:1-8,86,2 Ki. 4:18-37,Matt. 9:18-26
,,,,,,,
THIRD SUNDAY,2,15; 85,Ruth 1:1-17,Col. 3:5-11,21; 22:23-end,Joel 3:9-17,Matt. 13:36-52
BEFORE ADVENT,1,112; 113,"*Hab. 1:12-2:4, 9-14 ",Luke 12:35-48 ,7,Amos 5:14-24,Gal. 6:1-10
,,,,,,,
SECOND SUNDAY BEFORE ADVENT,2,75; 138,Isa. 2:6-19,Matt. 25:14-29,9,"Gen. 19:1-3, 12-17, 24-28",Luke 17:20-37
,1,93; 98,"*Isa. 66:1-2, 10-23",2 Thes. 1,76; 96,Deut. 4:23-31,"2 Pet. 3:1-14, 17-18"
,,,,,,,
SUNDAY NEXTBEFORE ADVENT,2,39,Jer. 4:23-31,Matt. 25:31-46,90,"Eccl. 11:9-12:8, 13-14",Heb. 13:1-21
,1,145,*Jer. 3:14-18,1 Cor. 11:17-32,103,Isa. 25:1-9 ,John 5:17-29
